epoch: 201, step: 456, time: 4.1, train: 4.002, valid: 1.554, train_acc: 0.606, valid_acc: 0.888
epoch: 202, step: 637, time: 2.6, train: 1.734, valid: 1.506, train_acc: 0.865, valid_acc: 0.876
epoch: 203, step: 893, time: 3.5, train: 1.600, valid: 1.558, train_acc: 0.884, valid_acc: 0.868
epoch: 204, step: 1074, time: 2.8, train: 1.592, valid: 1.462, train_acc: 0.880, valid_acc: 0.898
epoch: 205, step: 1330, time: 3.6, train: 1.547, valid: 1.566, train_acc: 0.889, valid_acc: 0.885
epoch: 206, step: 1511, time: 2.4, train: 1.567, valid: 1.502, train_acc: 0.884, valid_acc: 0.897
epoch: 207, step: 1767, time: 3.6, train: 1.519, valid: 1.470, train_acc: 0.894, valid_acc: 0.900
epoch: 208, step: 1948, time: 2.6, train: 1.520, valid: 1.501, train_acc: 0.894, valid_acc: 0.894
epoch: 209, step: 2204, time: 3.5, train: 1.476, valid: 1.478, train_acc: 0.904, valid_acc: 0.887
epoch: 210, step: 2385, time: 2.7, train: 1.484, valid: 1.436, train_acc: 0.901, valid_acc: 0.911
epoch: 211, step: 2641, time: 3.6, train: 1.438, valid: 1.467, train_acc: 0.911, valid_acc: 0.902
epoch: 212, step: 2822, time: 2.5, train: 1.448, valid: 1.430, train_acc: 0.911, valid_acc: 0.908
epoch: 213, step: 3078, time: 3.7, train: 1.418, valid: 1.377, train_acc: 0.916, valid_acc: 0.921
epoch: 214, step: 3259, time: 2.6, train: 1.431, valid: 1.417, train_acc: 0.913, valid_acc: 0.914
epoch: 215, step: 3515, time: 3.5, train: 1.404, valid: 1.413, train_acc: 0.920, valid_acc: 0.918
epoch: 216, step: 3696, time: 2.7, train: 1.418, valid: 1.354, train_acc: 0.916, valid_acc: 0.926
epoch: 217, step: 3952, time: 3.7, train: 1.387, valid: 1.394, train_acc: 0.925, valid_acc: 0.920
epoch: 218, step: 4133, time: 2.5, train: 1.403, valid: 1.338, train_acc: 0.919, valid_acc: 0.931
epoch: 219, step: 4389, time: 3.7, train: 1.373, valid: 1.325, train_acc: 0.927, valid_acc: 0.935
epoch: 220, step: 4570, time: 2.7, train: 1.379, valid: 1.350, train_acc: 0.926, valid_acc: 0.923
epoch: 221, step: 4826, time: 3.5, train: 1.356, valid: 1.327, train_acc: 0.931, valid_acc: 0.934
epoch: 222, step: 5007, time: 2.8, train: 1.356, valid: 1.294, train_acc: 0.932, valid_acc: 0.940
epoch: 223, step: 5263, time: 3.8, train: 1.333, valid: 1.366, train_acc: 0.938, valid_acc: 0.924
epoch: 224, step: 5444, time: 2.5, train: 1.336, valid: 1.341, train_acc: 0.936, valid_acc: 0.918
epoch: 225, step: 5700, time: 3.7, train: 1.313, valid: 1.294, train_acc: 0.942, valid_acc: 0.939
epoch: 226, step: 5881, time: 2.7, train: 1.324, valid: 1.303, train_acc: 0.939, valid_acc: 0.937
epoch: 227, step: 6137, time: 3.6, train: 1.306, valid: 1.303, train_acc: 0.943, valid_acc: 0.942
epoch: 228, step: 6318, time: 2.7, train: 1.314, valid: 1.262, train_acc: 0.941, valid_acc: 0.948
epoch: 229, step: 6574, time: 3.8, train: 1.292, valid: 1.299, train_acc: 0.947, valid_acc: 0.940
epoch: 230, step: 6755, time: 2.6, train: 1.303, valid: 1.292, train_acc: 0.944, valid_acc: 0.942
epoch: 231, step: 7011, time: 3.7, train: 1.286, valid: 1.252, train_acc: 0.949, valid_acc: 0.949
epoch: 232, step: 7192, time: 2.7, train: 1.294, valid: 1.268, train_acc: 0.946, valid_acc: 0.948
epoch: 233, step: 7448, time: 3.6, train: 1.280, valid: 1.301, train_acc: 0.950, valid_acc: 0.939
epoch: 234, step: 7629, time: 2.7, train: 1.281, valid: 1.229, train_acc: 0.950, valid_acc: 0.956
epoch: 235, step: 7885, time: 3.8, train: 1.266, valid: 1.274, train_acc: 0.954, valid_acc: 0.944
epoch: 236, step: 8066, time: 2.6, train: 1.279, valid: 1.252, train_acc: 0.950, valid_acc: 0.947
epoch: 237, step: 8322, time: 3.8, train: 1.268, valid: 1.223, train_acc: 0.953, valid_acc: 0.959
epoch: 238, step: 8503, time: 2.7, train: 1.277, valid: 1.260, train_acc: 0.951, valid_acc: 0.947
epoch: 239, step: 8759, time: 3.6, train: 1.259, valid: 1.274, train_acc: 0.955, valid_acc: 0.942
epoch: 240, step: 8940, time: 2.7, train: 1.270, valid: 1.222, train_acc: 0.952, valid_acc: 0.957
epoch: 241, step: 9196, time: 3.8, train: 1.248, valid: 1.250, train_acc: 0.958, valid_acc: 0.952
epoch: 242, step: 9377, time: 2.6, train: 1.259, valid: 1.232, train_acc: 0.955, valid_acc: 0.958
epoch: 243, step: 9633, time: 3.8, train: 1.251, valid: 1.227, train_acc: 0.958, valid_acc: 0.957
epoch: 244, step: 9814, time: 2.7, train: 1.257, valid: 1.240, train_acc: 0.955, valid_acc: 0.955
epoch: 245, step: 10070, time: 3.6, train: 1.246, valid: 1.278, train_acc: 0.959, valid_acc: 0.947
epoch: 246, step: 10251, time: 2.8, train: 1.253, valid: 1.215, train_acc: 0.958, valid_acc: 0.960
epoch: 247, step: 10507, time: 3.8, train: 1.237, valid: 1.248, train_acc: 0.960, valid_acc: 0.953
epoch: 248, step: 10688, time: 2.6, train: 1.243, valid: 1.237, train_acc: 0.959, valid_acc: 0.950
epoch: 249, step: 10944, time: 3.8, train: 1.235, valid: 1.208, train_acc: 0.962, valid_acc: 0.963
epoch: 250, step: 11125, time: 2.7, train: 1.245, valid: 1.231, train_acc: 0.959, valid_acc: 0.955
epoch: 251, step: 11381, time: 3.6, train: 1.230, valid: 1.248, train_acc: 0.963, valid_acc: 0.955
epoch: 252, step: 11562, time: 2.8, train: 1.237, valid: 1.203, train_acc: 0.961, valid_acc: 0.963
